P1 Hand,P2 Hand,Action Sequence,Winner
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 4 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 4 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 3 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 3 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 3 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 4 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 3 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 4 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 1 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 5 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 2 -> Player 2 2 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 3 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 1 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 1 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 2 -> Player 2 1 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 3 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 2 -> Player 2 4 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 5 -> Player 1 ,P1
"(0,5)","(0,5)",Player 1 2 -> Player 2 ,P2
"(0,5)","(0,5)",Player 1 3 -> Player 2 1 -> Player 1 1 -> Player 2 1 -> Player 1 1 -> Player 2 ,P2
